,,,,,,,,,Monthly proportion of CVD risk assessments (corresponding to supplementary figure 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Overall,,,,,,Risk tool,,,,,,,Risk category,,,,,,,Age group,,,,,,,Gender,,,,,,,Ethnicity,,,,,,,Deprivation,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,prop_dates,users,population,proportion,,NA,prop_dates,risk_tool,users,population,proportion,,NA,prop_dates,risk_cat,total_users,total_population,proportion,,NA,prop_dates,age_group,total_users,total_population,proportion,,NA,prop_dates,Gender,total_users,total_population,proportion,,NA,prop_dates,Ethnicity,total_users,total_population,proportion,,NA,prop_dates,Deprivation,total_users,total_population,proportion
14,31/05/2010,591896,3079077,19.22316331,,14,31/08/2009,JBS,7818,473230,1.6520508,,14,31/08/2009,20%+,69874,475310,14.70072163,,14,31/08/2009,40-74,419201,2078743,20.16608114,,14,31/10/2009,Women,261486,1562771,16.73220197,,14,30/06/2009,South Asian,28372,177649,15.97081886,,14,30/06/2009,4,76009,543221,13.99227939
15,30/06/2010,598979,3081207,19.43975202,,15,31/08/2009,QRISK,135036,473230,28.53496186,,15,31/08/2009,<10%,260086,475310,54.71923587,,15,31/08/2009,75-84,15768,114508,13.77021693,,15,30/11/2009,Men,258839,1501473,17.23900463,,15,30/06/2009,White,371143,2440529,15.20748166,,15,30/06/2009,5 - most deprived,99255,633597,15.66532039
16,31/07/2010,617066,3090918,19.96384246,,16,30/09/2009,Framingham,330269,485694,67.9993988,,16,30/09/2009,10-19%,148564,487746,30.45929644,,16,30/09/2009,25-39,41159,857588,4.79939085,,16,30/11/2009,Women,262305,1559418,16.82069849,,16,31/07/2009,Black,20051,121340,16.5246415,,16,31/07/2009,1 - least deprived,100767,670111,15.03735948
17,31/08/2010,618837,3088105,20.0393769,,17,30/09/2009,JBS,8426,485694,1.734837161,,17,30/09/2009,20%+,72372,487746,14.83805095,,17,30/09/2009,40-74,430604,2081025,20.69191865,,17,31/12/2009,Men,264823,1502989,17.61975637,,17,31/07/2009,Mixed,3540,27903,12.68680787,,17,31/07/2009,2,92711,623220,14.87612721
18,30/09/2010,628654,3094718,20.31377334,,18,30/09/2009,QRISK,146999,485694,30.26576404,,18,30/09/2009,<10%,266810,487746,54.70265261,,18,30/09/2009,75-84,15983,114874,13.91350523,,18,31/12/2009,Women,267503,1560415,17.14306771,,18,31/07/2009,Other,5534,48127,11.49874291,,18,31/07/2009,3,84486,571479,14.78374533
19,31/10/2010,640293,3101344,20.64566201,,19,31/10/2009,Framingham,329552,516359,63.82226319,,19,31/10/2009,10-19%,155166,518361,29.93396494,,19,31/10/2009,25-39,43942,858896,5.116102532,,19,31/01/2010,Men,271391,1504961,18.03309189,,19,31/07/2009,South Asian,28825,178194,16.17619,,19,31/07/2009,4,78511,544037,14.43118758
20,30/11/2010,652058,3106190,20.99221232,,20,31/10/2009,JBS,9074,516359,1.757304511,,20,31/10/2009,20%+,76701,518361,14.79683078,,20,31/10/2009,40-74,458315,2093133,21.89612414,,20,31/01/2010,Women,273798,1562438,17.52376734,,20,31/07/2009,White,382430,2441794,15.66184535,,20,31/07/2009,5 - most deprived,101628,633695,16.03736813
21,31/12/2010,651838,3102547,21.00977036,,21,31/10/2009,QRISK,177733,516359,34.4204323,,21,31/10/2009,<10%,286494,518361,55.26920428,,21,31/10/2009,75-84,16104,115218,13.97698276,,21,28/02/2010,Men,277165,1506528,18.39760031,,21,31/08/2009,Black,19897,121196,16.41720849,,21,31/08/2009,1 - least deprived,104029,670998,15.50362296
22,31/01/2011,659803,3105575,21.24575964,,22,30/11/2009,Framingham,328964,519155,63.36527627,,22,30/11/2009,10-19%,156487,521144,30.02759314,,22,30/11/2009,25-39,43921,857360,5.122818886,,22,28/02/2010,Women,280310,1564787,17.91362019,,22,31/08/2009,Mixed,3676,28082,13.09023574,,22,31/08/2009,2,95569,623396,15.3303839
23,28/02/2011,669189,3110402,21.51455021,,23,30/11/2009,JBS,9800,519155,1.887682869,,23,30/11/2009,20%+,78112,521144,14.98856362,,23,30/11/2009,40-74,461062,2088197,22.07943025,,23,31/03/2010,Men,286458,1510401,18.96569189,,23,31/08/2009,Other,5747,48374,11.88034895,,23,31/08/2009,3,88405,572536,15.44095044
